Year,Bulgaria,Greece,Poland,Romania,Russia
2003,2.11E+10,2.02E+11,2.20E+11,4.78E+10,2.11E+11
2004,2.37E+10,2.19E+11,2.43E+11,5.98E+10,2.72E+11
2005,2.71E+10,2.25E+11,2.57E+11,6.96E+10,3.46E+11
2006,3.09E+10,2.46E+11,2.78E+11,8.33E+10,4.30E+11
2007,3.68E+10,2.63E+11,3.09E+11,1.03E+11,5.31E+11
2008,4.22E+10,2.73E+11,3.35E+11,1.29E+11,6.61E+11
2009,4.23E+10,2.69E+11,3.56E+11,1.26E+11,6.21E+11
2010,4.34E+10,2.55E+11,3.77E+11,1.27E+11,7.41E+11
2011,4.69E+10,2.34E+11,4.08E+11,1.34E+11,9.65E+11
2012,4.76E+10,2.16E+11,4.24E+11,1.43E+11,1.09E+12
2013,4.75E+10,2.05E+11,4.32E+11,1.52E+11,1.17E+12